device.display_name,device.hostname,device.id,device.primary_system_user_id,device.os,device.os_version,device.agent_reporting_status,device.last_contact,device_system_detail.uptime,device.hardware_vendor,device.hardware_model,device.serial_number,device.architecture,device_system_detail.memory,device_disk_summary.primary_free,device_disk_summary.primary_used,device_system_detail.cpu_brand,device_system_detail.cpu
USATP-0302,XLQNN4F6XD,62d6bd7a4e7072660000c97d,,Mac OS X,26.4.1.25E253,Inactive,2026-05-06T18:02:09.18Z,2792,Apple Inc.,"MacBookPro18,3",XLQNN4F6XD,arm64,1.7179869184e+10,6.8125462528e+10,4.2625933312e+11,Apple M1 Pro,arm64e ARM64E
USATP - 0309 MBA,usatestprep-MacBook-Air,690b7551a868f4a978d22a80,5f4f0a1e683b0c3ce0095817,Mac OS X,26.0.1.25A362,Inactive,2026-02-16T22:40:14Z,1.4678e+06,Apple Inc.,"Mac14,2",G637X6RQ1N,arm64,1.7179869184e+10,4.39074230272e+11,5.5310565376e+10,Apple M2,arm64e ARM64E
USATP-0312 MBA,FVFJ2391Q6LR,632e0861e4a7d51e46bb23c1,,Mac OS X,26.2.25C56,Inactive,2026-05-28T18:20:41.087Z,4.949923e+06,Apple Inc.,"MacBookAir10,1",FVFJ2391Q6LR,arm64,1.7179869184e+10,1.2860686336e+11,1.16500332544e+11,Apple M1,arm64e ARM64E
USATP-0313 MBA,FVFJ23DLQ6LR,656e112d409540e9d128c1c5,,Mac OS X,26.1.25B78,Inactive,2026-02-17T21:51:21.6Z,119015,Apple Inc.,"MacBookAir10,1",FVFJ23DLQ6LR,arm64,1.7179869184e+10,6.7418169344e+10,1.7768902656e+11,Apple M1,arm64e ARM64E
USATP - 0320 MBA,C02K71DSQ6LR,659d64f30273db9c2fd56c5a,,Mac OS X,26.1.25B78,Inactive,2026-02-17T20:23:17.218Z,4.350438e+06,Apple Inc.,"MacBookAir10,1",C02K71DSQ6LR,arm64,1.7179869184e+10,1.72335939584e+11,7.277125632e+10,Apple M1,arm64e ARM64E
USATP - 0321 MBA,C02K70J2Q6LR,65ef708cbc90ce1b966566db,,Mac OS X,26.1.25B78,Inactive,2026-01-12T22:39:01Z,3.649837e+06,Apple Inc.,"MacBookAir10,1",C02K70J2Q6LR,arm64,1.7179869184e+10,1.6407703552e+11,8.1030160384e+10,Apple M1,arm64e ARM64E
USATP - 0322 MBA,C02K70AWQ6LR,64414df85d878ee2345a04e9,,Mac OS X,26.1.25B78,Inactive,2026-02-16T22:31:47.891Z,1.45805e+06,Apple Inc.,"MacBookAir10,1",C02K70AWQ6LR,arm64,1.7179869184e+10,,,Apple M1,arm64e ARM64E
USATP - 0323 MBA,C02K71DRQ6LR,6436cb950b3e11c88c8222e9,,Mac OS X,26.2.25C56,Inactive,2026-01-12T18:56:29Z,925426,Apple Inc.,"MacBookAir10,1",C02K71DRQ6LR,arm64,1.7179869184e+10,6.088617984e+10,1.84221016064e+11,Apple M1,arm64e ARM64E
USATP - 0324 MBA,C02K71DNQ6LR,6696e788a4c31a9b5304c279,,Mac OS X,26.2.25C56,Inactive,2026-01-15T01:18:07.987Z,177831,Apple Inc.,"MacBookAir10,1",C02K71DNQ6LR,arm64,1.7179869184e+10,1.45651068928e+11,9.9456126976e+10,Apple M1,arm64e ARM64E
USATP - 0337,R094YQY5L4,695c35441918ec18b94994cb,5f4f0a1e683b0c3ce0095817,Mac OS X,26.2.25C56,Inactive,2026-06-15T15:39:16Z,7.438202e+06,Apple Inc.,"Mac14,15",R094YQY5L4,arm64,1.7179869184e+10,3.20391766016e+11,1.73993029632e+11,Apple M2,arm64e ARM64E
