Device ID,Device Name,Device Category,Device Type,Device Subtype,Discovery sources,Domain,AAD Device Id,First Seen,Last device update,OS Platform,OS Distribution,OS Version,OS Build,Windows 10 Version,Tags,Group,Is AAD Joined,Device IPs,Device MACs,Risk Level,Exposure Level,Health Status,Onboarding Status,Device Role,Cloud Platforms,Is Internet Facing,Enrollment Status Code,Managed By,Enrollment Status,Vendor,Model
419cdbbed676449890b0b84605b4a91045da50ba,"ec2amaz-n3qfnnm",Unknown,Unknown,Unknown,"",Workgroup,,2026-06-08 12:07:44,2026-06-08 12:07:44,,"Other","Other",,,"",0,False,"","",No known risks,No data available,Active,Onboarded,,,False,Unknown,Unknown,Unknown,,
9c437b7cf45a1a3a8d769c48dab6f763bb806346,"ec2amaz-v4thj7r",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-08 11:12:29,2026-06-08 11:12:30,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.169.198, 127.0.0.1, fe80::4c82:adf5:df51:1b04, ::1","0A-10-5F-65-B6-C5, 0A-10-5F-65-B6-C5, 0A-10-5F-65-B6-C5, 0A-10-5F-65-B6-C5",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
d1f93a96dbb4e1300b9c44ad19b6f93ba66e4e4c,"pl-auto-jenkins",Computers and Mobile,Server,Server,"Defender for Endpoint,Defender for Cloud",progresslearning.dc,,2026-03-11 22:24:27,2026-06-08 20:43:48,WindowsServer2022,"WindowsServer2022","21H2",20348,21H2,"",0,False,"172.31.169.25, 127.0.0.1, fe80::1d74:ebff:33e4:c23f, ::1","0A-16-17-19-75-E7, 0A-16-17-19-75-E7, 0A-16-17-19-75-E7, 0A-16-17-19-75-E7",No known risks,Medium,Active,Onboarded,,"Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
28f8a6d558bea414b1290a33d8d8fb6c2a48b09c,"pl-pr-jenkins",Computers and Mobile,Server,Server,"Defender for Endpoint,Defender for Cloud",progresslearning.dc,,2026-03-12 01:00:12,2026-06-08 16:33:24,WindowsServer2022,"WindowsServer2022","21H2",20348,21H2,"",0,False,"172.31.164.240, 127.0.0.1, fe80::cadb:6257:f78f:a90a, ::1","02-EB-9B-FD-3D-23, 02-EB-9B-FD-3D-23, 02-EB-9B-FD-3D-23, 02-EB-9B-FD-3D-23",No known risks,Medium,Active,Onboarded,,"Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
7f2a4fe7279b3530043894117e2d7163f3fbc76b,"ec2amaz-ebh57md",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-08 12:12:50,2026-06-08 12:18:25,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.189.12, 127.0.0.1, fe80::d646:bcdd:aaca:3bc3, ::1","02-04-C9-11-66-75, 02-04-C9-11-66-75, 02-04-C9-11-66-75, 02-04-C9-11-66-75",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
2fa9337384fc63728370341d4cda05128f641975,"pl-qa-jenkins",Computers and Mobile,Server,Server,"Defender for Endpoint,Defender for Cloud",progresslearning.dc,,2026-03-12 00:29:56,2026-06-08 18:49:42,WindowsServer2022,"WindowsServer2022","21H2",20348,21H2,"",0,False,"172.31.190.115, 127.0.0.1, fe80::be67:f5c5:b604:a789, ::1","02-C3-9E-9D-63-09, 02-C3-9E-9D-63-09, 02-C3-9E-9D-63-09, 02-C3-9E-9D-63-09",No known risks,Medium,Active,Onboarded,,"Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
d79f03b6e3f793a4586fb673fbc161d0edecd265,"pl-sa-jump-25",Computers and Mobile,Server,Server,"Defender for Endpoint,Defender for Cloud",progresslearning.dc,,2026-03-20 21:50:23,2026-06-08 12:08:10,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.188.131, 127.0.0.1, fe80::288e:ccf8:7b11:709f, ::1","02-AB-D3-9E-38-DD, 02-AB-D3-9E-38-DD, 02-AB-D3-9E-38-DD, 02-AB-D3-9E-38-DD",No known risks,Medium,Active,Onboarded,,"Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
9aa869cdcec3e5797542cef3b0669b4d21e0a9a7,"pl-pr-w3g-al8d",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-08 11:20:39,2026-06-08 17:20:40,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.167.139, 127.0.0.1, fe80::f5f7:f3c2:bb76:ae8c, ::1","02-7E-A5-9B-BF-35, 02-7E-A5-9B-BF-35, 02-7E-A5-9B-BF-35, 02-7E-A5-9B-BF-35",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
8cdfdb3b1c156215d63f4511ffbcc7d44ed68d7c,"pl-sb-w3b-udmp",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-05 12:21:00,2026-06-08 13:21:02,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.189.240, 127.0.0.1, fe80::58ae:40ba:9bc6:387, ::1","02-2C-D7-30-C1-BF, 02-2C-D7-30-C1-BF, 02-2C-D7-30-C1-BF, 02-2C-D7-30-C1-BF",No known risks,Medium,Active,Onboarded,,"Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
29a2a55d17c6e1eede07e4b5c84e3934c27d9067,"pl-pr-w3b-po81",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-08 11:20:59,2026-06-08 14:20:59,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.170.182, 127.0.0.1, fe80::5db8:bdf7:350a:ef16, ::1","0A-46-97-B8-E1-F5, 0A-46-97-B8-E1-F5, 0A-46-97-B8-E1-F5, 0A-46-97-B8-E1-F5",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
